l1_category_id,l1_category
1741,Bill Breaker
1493,Free Store
1013,Freebie
2039,Print as a service
902,gift cards
944,Chocolates
134,Cat Food & Treats
1489,Fresh Vegetables
1322,Coffee
1826,Masks & Sanitizers
988,Dishwashing Bars
987,Toilet Cleaners & More
278,Exotics
166,Shampoo & Conditioner
1599,Soda & Mixers
1115,Deodorants & Powders
696,Bathing Soaps
940,Chips & Crisps
1010,"Toor, Urad & Chana"
1930,Candies & Gum
957,Tea
1078,Dishwashing Gels & Powder
1452,Flowers & Leaves
1590,Baby Food
1166,"Besan, Sooji & Maida"
1102,Soft Drinks
133,Dog Food & Treats
199,Skin Treatment
985,Laundry Additives
722,Oral Care
1130,Asian Sauces
316,Nachos
48,Other Flours
85,Cleaning Needs
1178,Bhujia & Mixtures
1082,Cleaning Tools
1784,Disinfectant & More
1295,"Poha, Daliya & Other Grains"
51,Floor Cleaners & More
403,Pet Grooming & Accessories
702,Hair Oil & Serum
29,Namkeen Snacks
983,Detergent Powder & Bars
986,Dishwashing Accessories
1362,Chicken
939,Cookies & Wafers
690,Body Moisturizers & More
1117,Facial Care
799,Oil & Ghee
960,Health Drinks
955,Fruit Juices
998,Oral & Nasal Care
1161,Rice
1893,Women's Grooming
1313,Noodles & Pasta
699,Handwash
1126,Chutney & Pickle
169,Feeding Accessories
968,Pasta
1936,"Organic Salt, Sugar & Honey"
1935,Rice & Rice Products
1363,Mutton
693,Cosmetics
965,Instant Mixes
342,Paan
156,Popcorn
1503,Fresh Fruits
1937,"Dry Fruits, Nuts & Seeds"
1573,"Rajma, Chhole & Others"
1077,Liquid Detergents
974,Dips & Spreads
1933,Mouth Fresheners
1044,Chocolates & Candies
707,Sexual Wellness
698,Hand & Foot Care
976,Honey
1173,Chocolate Packs
1109,Herbal Drinks
67,Exotic Meat
803,Spices & Vinegar
96,Breakfast & More
978,Chocolate Spreads
929,Cooking Sauces & Paste
82,Snacks & Munchies
1128,Sauces & Spreads
1000,Diapers & Wipes
946,Cooking Essentials
308,Supplements
1165,Atta
1948,Cigarettes & Tobacco
742,Organic & Hydroponic
157,Frozen Veg
692,Men's Grooming
962,Noodles
691,Hair Colour & More
816,Healthy Snacks
75,Cough & Cold
87,Vegan Drinks
19,Energy Drinks
91,Coldpress
1982,Smoking Needs
1135,Chyawanprash
57,Shoe Polish & Brush
1361,Fish & Seafood
1131,Tomato & Chilli Ketchups
882,Dairy Products
964,Soup
270,Water & Ice Cubes
80,Papad & Fryums
1375,Salad Dressings
155,Wound Care And Pain Relief
290,Smoking Cessation
106,Flavoured Yogurts
655,Beverages
1967,Mother Care
1121,Antiseptic Liquid
1127,Plant Based Meat
999,Baby Gift Set
1425,Batter
1694,Munchies Gift Packs
992,Pet Supplement
109,Concentrates & Syrups
710,Bath & Beauty Gifts
33,Cheese
123,Curd & Yogurt
50,Powdered Spices
917,Oil
933,"Salt, Sugar & Jaggery"
1092,Cream & Whitener
815,Dates & Seeds
930,Whole Spices
1140,Vermicelli
1200,Eggs
953,Bread & Pav
954,Breakfast Cereal
923,Paneer & Tofu
922,Milk
952,Butter & More
130,Condensed Milk
97,Healthy Proteins
1001,Bath & Hair Care
943,Indian Sweets
505,Moong & Masoor
1160,Dry Fruits
1602,Gift Packs
1158,Ghee & Vanaspati
1002,Baby Skin Care
152,Energy Bars
997,Baby Pharma
1388,"Sausage, Salami & Ham"
1968,Herbs & Seasoning
1294,Ready to Eat & Cook
62,Healthcare Devices
629,Adult Diapers
298,Digestive Care
1871,Leafies & Herbs
928,Combo & Recipes
981,Shower Gels & Scrubs
1052,Kitchen & Dining Needs
1085,Fresheners
926,Repellents
1433,Home Decor
1992,Sports & Fitness
1387,Electronic Accessories
1048,Pooja Needs
1472,Candles
1049,Stationery Needs
1445,Lights
1014,Bathroom Essentials
1474,Apple Store
1674,Festive & Occasion Needs
1715,"Clothing, Footwear & Accessories"
305,Kids Toys & More
1920,Precious Coins & Jewellery
126,Party Essentials
389,Festive Gifting
120,Bags
1833,Garbage Bags
1187,Electrical Accessories
1413,Frozen Veg Snacks
1184,Milk Drinks
1886,Appliances
1412,Frozen Non-Veg Snacks
1120,Pharma Needs
723,Feminine Care
1918,Peanut Butter
183,Ice Cream & Frozen Dessert
975,Jams
28,Cookies
105,Cream Biscuits
971,Baking Ingredients & Mixes
108,Cakes & Rolls
1663,Gourmet Bakery
144,Sweet & Salty
1959,Biscuit Gift Packs
938,Healthy & Digestive
209,Glucose & Marie
107,Rusks & Wafers
395,Freshly Cut & Sprouts
1289,Syrups
800,Pulses & Millets
1075,Tissues & Disposables
1415,Machine & Car Care
1563,Tea & Coffee
801,Flour
