product_id,product_name
476763,Christmas - Card
483436,Plum BodyLovin' Hawaiian Rumba Shower Gel - Sample
476825,Diwali Gift Card Free - Sample
483438,Plum BodyLovin' Trippin' Mimosas Shower Gel - Sample
480473,Flipkart Valentine Day Greeting - Card
483694,Dabur Vita Chocolate Health Drink - Sample
486016,Plum Green Tea Pore Cleansing Face Wash - Sample
486017,Plum Green Tea Oil-Free Moisturizer - Sample
486124,Kari kari Salt & Pepper Snack Sample
486125,Maggi Liquid Coconut Milk Sample
486376,Orion Mango Choco Pie Sample
486377,Tata Tea Gold Care Tea Sample
486559,Conscious Food Organic Raw Sugar Sample
487659,The Laughing Cow Creamy Cheese Sample
487667,Sunfeast Dark Fantasy Choco Fills Cookies Sample
487668,Sunfeast All Rounder Cracker - Chatpata Masala Sample
488061,Sleepy Owl Cold Brew Coffee (Bomb) Sample
488062,Sleepy Owl Cold Brew Coffee (Mocha) Sample
488063,Sleepy Owl Cold Brew Coffee (New Orleans) Sample
488059,Sleepy Owl Cinnamon Brew Coffee Sample
488058,Sleepy Owl Caramel Brew Coffee Sample
488060,Sleepy Owl Cinnamon Brew Coffee (Set of 3) Sample
488705,Safe Harvest Pesticide-Free Poha Sample
486018,Niine Dry Comfort Ultra-Thin Sanitary Pads (XL) - Sample
489906,Cadbury Fuse Fit Almonds & Peanuts Chocolate Bar Sample
486151,Black & white Double side Landscape
486150,Black & white Double side Portrait
486155,Colour Double side Landscape
486154,Colour Double side Portrait
486149,Black & white Single Side Landscape
486148,Black & white Single side Portrait
486153,Colour Single side Landscape
486152,Colour Single side Portrait
492061,Crax Pasta Crunch Crisps - Chinese Tadka Sample
492062,Slurrp Farm Banana Chocochip Millet Pancake Mix Sample
492936,Navratna Gold Ayurvedic Cool Hair Oil Sample
493020,Kellogg's Chocos Fills Snack Cereal (Double Chocolaty) Sample
492060,Crax Fritts Corn & Potato Sticks - Cream & Onion Sample
493186,Pedigree Dentastix Oral Care Dog Treat (for 5-10 kg) Sample
493185,"Sheba Chicken Premium Loaf Wet Food Adult, +1 Year Sample"
493184,Pedigree Dentastix Oral Care Dog Treat (for 10-25 kg) Sample
493441,Plush Sanitary Pads (Travel Pack) Sample
493442,Lotus Herbals Whiteglow Skin Whitening & Brightening Gel Cream Sample
492942,Maggi Hot & Sweet Sriracha Style Tangy Tomato Chilli Sauce Free Gift
478603,Veerabhadra Andhra Murukulu Namkeen Free Gift
492930,Galaxy Cookie Crumble Milk Chocolate Bar Free Gift
478596,Bonn Nu Health 100% Wholewheat Bread Free Gift
492266,Wow Skin Science Shea Butter & Cocoa Butter Moisturizing Body Lotion Free Gift
478606,Veerabhadra Murmura Laddu (Packet) Free Gift
478599,Kingfisher Radler Strawberry Cranberry Non Alcoholic Beer (Can) Free Gift
478611,Veerabhadra Salto Rings Papad (Packet) Free Gift
492263,Wow Skin Science Vitamin C Face Wash Free Gift
492264,Wow Skin Science Vitamin C Face Mask Free Gift
478601,Storia 100% Natural Coconut Water (Tetra Pack) Free Gift
478607,Veerabhadra Butter Murukulu Namkeen Free Gift
478598,Trisbix Layered Cracker (Sour Cream & Onion Flavour Box) Free Gift
492269,Mangaldeep Temple Gold Tradition Incense Sticks Free Gift
492933,Unibic Snappers Cream & Onion Potato Cracker Free Gift
495596,Gas O Fast Jeera Digestive Antacid Sample
490557,FnV Card Free Gift
492929,Coca-Cola Zero Soft Drink Free Gift
492934,Bambino Hot & Sour Vegetable Soup Free Gift
492267,Wow Skin Science Aloe Vera Face Gel Free Gift
478604,Veerabhadra Masala Murukulu Namkeen Free Gift
478608,Veerabhadra Maka Flakes (Packet) Free Gift
492941,Maggi Hot & Sweet Extra Hot Tomato Chilli Sauce Free Gift
490300,Bel Patta Free Gift
492265,Wow Skin Science Ubtan Face Wash Free Gift
493454,Tata Premium Tea Free Gift
478612,Nestle MUNCH Fruit O’ Nuts Filled Bar Free Gift
478610,Veerabhadra Salto Wheat Flower Papad (Packet) Free Gift
492270,Mangaldeep Sandal Incense Sticks Free Gift
492935,Kari kari Chilli Garlic The Cruschiest Bold & Zesty Snack Free Gift
493443,Grocery 1 kg Sugar Free Gift
488073,Cucumber (Kheera) Free Gift
478600,Kingfisher Radler Black Currant Non Alcoholic Beer (Can) Free Gift
478609,Veerabhadra Fryums (Packet) Free Gift
493445,Aashirvaad Salt 1 kg Free Gift
478602,Veerabhadra Chakodi (Packet) Free Gift
478597,Trisbix Layered Cracker (Pizza Flavour Box) Free Gift
490555,Guava Free Gift
492932,Orion Choco Pie Free Gift
478605,Veerabhadra Jangri Murukulu Namkeen Free Gift
487660,Tender Coconut Free Gift
493039,Flipkart Card - Free Gift
495316,Assorted Fruits & Veggies Trial Basket - Free Gift
495317,Assorted Fruits & Veggies Trial Basket - Free Gift
439228,HOT Chair Pad
495935,Sleepy Owl Assorted Brew Coffee Sample
495939,Sleepy Owl Original Brew Coffee - Pack of 5 Sample
495936,Sleepy Owl Dark Roast Brew Coffee Sample
495938,Sleepy Owl Hazelnut Brew Coffee Sample
495937,Sleepy Owl French Vanilla Brew Coffee Sample
483695,D'lecta QR code Fridge Magnet - Sample
496244,Flipkart (Kolkata) Pujo Pamphlet Sample
496242,Flipkart (Delhi) Navratri Pamphlet Sample
495872,Flipkart Pamphlet Sample
496236,Flipkart (Bengaluru) Dasara Pamphlet Sample
496243,Flipkart (Mumbai) Navratri Pamphlet Sample
496237,Flipkart (Hyderabad) Navratri Pamphlet Sample
487669,Bingo Original Style Chilli Sprinkled Potato Chips Sample
496234,Flipkart Navratri Pamphlet (Mumbai) - Sample
496232,Flipkart Navratri Pamphlet - Sample (Hyderabad)
496235,Flipkart Pujo Pamphlet - Sample (Kolkata)
495870,Flipkart Festival Shopping Pamphlet - Sample
496231,Flipkart Dasara Pamphlet - Sample (Bengaluru)
496233,Flipkart Navratri Pamphlet (Delhi) - Sample
496590,Parry's Amrit Brown Sugar Sample
496749,Pedigree Biscrok Dog Biscuit (Above 4 Months) Sample
407503,Silver Coin
439867,Cadbury Dairy Milk Triple Chocolate Bar
491421,Whiskas Chicken & Tuna Flavour Dry Cat Food (1+ Years)
495902,Mix Veg Combo
496676,Colombian Brew Coffee Nutty Hazelnut Instant Coffee + Colombian Brew Coffee Double Chocolate Mocha Instant Coffee Combo
439061,"Whiskas Mackerel Flavour Cat Dry Food Adult, +1 year + Chicken in Gravy Wet Food (Adult, +1 Year) Combo"
479984,Karam K-Air Disposable Surgical 3 Ply Mask (Blue)
481657,Again Lime Dishwash Bar
483083,Gainda Extreme Power Toilet Cleaner - Buy 1 Get 1 Free
274987,Valencia Orange
487211,Amul Raisin 'N' Almond Milk Chocolate Bar - Pack of 2
442966,Wow Skin Science Onion Red Seed Oil Shampoo
487073,Britvic Indian Tonic Water - Pack of 24
496793,Spinz Black Magic Perfumed Women's Deodorant (International Fragrances) - Buy 2 Get 1 Free
391020,O'range Glycerine Soap 125 g
468084,Why Fryy Popped Zesty Tomato Flavour Potato Chips - Pack of 2
483375,Udhaiyam Chana Dal - Pack of 2
32496,Dabur Hajmola Anardana Digestive Tablets
164944,Brooke Bond Taaza Tea 250 g
258388,Finish 5X Power Actions Dishwash Salt
31116,Society Tea
493309,Banana Leaf + Banana + Durva Grass + Orange Marigold Flower String Combo
330700,Nestle Nestum Rice Vegetable Baby Cereal (8 Months- 24 Months)
416665,Ganesh Premium Maida - Pack of 2
440035,Grocery Fried Gram/Chana Roasted Dal
473078,Kingfisher Radler Black Currant Non Alcoholic Beer
153528,Choostix Dental Plus Dog Treat
448588,Cadbury Dairy Milk Crispello Chocolate Bar - Pack of 2
492081,Kennel Kitchen Fish Chunks in Gravy Wet Cat Food - Pack of 12
496472,Boroplus Soft Ayurvedic Antiseptic Cream
496633,Colombian Brew Coffee Wild Vanilla Instant Coffee - Pack of 3
107543,Ujala Ultra Radiance Liquid Fabric Whitener
464406,Pepsodent Mouth Rinse - Mouthwash Fights 99.9% Germs in 30s
106433,Sprig Artisan Style Roasted Chilli Oil
39022,Pond's Magic Freshness Acacia Honey Talc
13945,Choostix Natural Flavour Dog Treat
375479,Cornitos Sizzlin Jalapeno Nachos - Pack of 2
492833,Satyam Jowar Flour - Pack of 3
492543,Bhagirathi Jowar Flour - Pack of 2
378916,Pansari Maida
443674,Pigeon Baby Laundry Detergent - Liquid Bottle
479007,Sita Ram's Jhodpuri Mix Namkeen
476097,Kleanmax Duster (Cotton)
460356,Ciphands Surface Disinfectant Spray
483198,Bhagyalakshmi Thick Poha - Pack of 2
489210,Goclean Mosquito Repellent Deodorant Eco Phenyl - Pack of 2
492452,Trixie Duck Latex Sound Chew Toy
81259,Dry Oyster Mushroom
438361,"Gala Mop (Microfiber Twist Plus, Blue)"
396289,"Pedigree Chicken, Egg & Rice Dry Food (Adult) + Aashirvaad Shudh Chakki Whole Wheat Atta Combo"
427912,Emami 7 Oils in One Damage Control Hair Oil - Pack of 2
36018,Haldiram's Soya Sticks Namkeen
426416,JK Thick Poha
488676,Dettol Clean & Fresh Multi Purpose Cleaner - Lemon & Lime Refill
477722,Ghadi Detergent Powder - Pack of 2
348647,Scotch Brite 2 Pcs Super Strong Scrub Pad
98588,Prasuma Chicken Seekh Kebab (Fresh & Chilled)
455656,Heineken 0.0 Non Alcoholic Beer
479709,Lotus Biscoff Cream Biscuit
371377,Yardley London- English Rose Moisturising Body Lotion (For Women)
241563,Organic Harvest Daily Nourishing Night Cream
481822,Chitale Cornflakes Chivda Namkeen - Pack of 2
474791,Wow Skin Science Himalayan Rose Body Lotion
404316,Budweiser 0.0 Non Alcoholic Beer (Can) - Pack of 4
481186,Conscious Food Organic & Cold Pressed Groundnut Oil - Pack of 2
441359,O'range Panch Tattva Soap 125 g - Pack of 2
35373,Bingo Mad Angles Achaari Masti Crisps
186388,Patanjali Herbo Wash Detergent Bar
428037,Tide Blue/White Detergent Bar - Pack of 10 & Free Container
477142,Cadbury Fuse Fit Cranberries & Nuts Chocolate Bar
490206,Bel Patta: 50 g Orange Marigold Flowers: 100 g Banana: 3 pieces Bel Patta + Orange Marigold Flowers + Banana Combo
381605,Anand Sweets Khara Boondi Namkeen
407625,PediaSure 7+ Specialized Nutrition for Growing Children Vanilla Health Drink
453621,Real Mango Drink - Pack of 2
543,Cadbury Dairy Milk Crackle Chocolate Bar
477345,Mee Mee Tooth & Gum Cleaning Green Finger Baby Toothbrush
494126,Omsom Surti Kolam Rice - Pack of 2
365044,Gillette Venus Comfortglide Hair Removal Women's Razor
494161,Tata Sampann Unpolished Kala Chana - Pack of 2
369021,Popular Essentials Classic Raw Sonamasuri Rice - 18 Months Old
234482,Kraft Cheddar Explosion Cheese Macaroni
155532,Palmolive Raspberry Foaming Hand Wash
493133,Nespresso Napoli Coffee Capsules
493139,Nespresso Kazaar Coffee Capsules
261375,Priya Amla Pickle
377958,Engage Blush Women's Deodorant - Pack of 2
447742,Beverly Hills Polo Club No. 2 Women's Deodorant
485246,Pigeon Perislastic Feeding Nipple (M) - Pack of 2
441072,Himalaya Pure Hands Tulsi & Aloe Moisturizing Hand Wash
424288,Borges Fusilli Pasta Mini - Pack of 2
487346,Barilla Gnocchetti Pasta
489441,Wow Skin Science Red Onion Black Seed Oil Shampoo - Pack of 2
491804,Wow Skin Science Amla Shampoo
495258,Praakritik Natural Himalayan Pink Salt - Pack of 2
495239,Whole Farm Pesticide-Free Proso Millet - Pack of 2
594,Pringles Original Potato Chips
466076,Colombian Brew Coffee 3 in 1 Instant Coffee Premix (Cappuccino)
13453,Organic Tattva Organic Brown Basmati Rice
491760,"Choostix Dog Brush (Double Sided, Large)"
425786,Colgate Natural Fruit Flavour Toothpaste for Kids (0-2 Years)
377466,Vanish Oxi Action Fabric Stain Remover - Pack of 2
442963,Wow Skin Science Onion Oil with Comb
376121,Kitchen Xpress Wheat Daliya
482377,Morelli Olive Taggiasche Germ Wheat Pasta
488270,Dr. Beckmann Fruit & Drink Stain Remover
489203,Gainda Phenyl (White) - Pack of 2
489188,Scotch Brite Sponge Wipe - Pack of 2
381022,Bhagirathi Rajgira Flour
492553,Bhagirathi Wade Flour - Pack of 2
3899,Dry Gucchi Mushroom
24743,Tide Double Power Lemon & Mint Detergent Powder
481830,Gulab Mini Bhakarwadi - Pack of 2
428030,Tide White Detergent Bar - Pack of 5
139560,Trixie Kokosol Coconut Oil Dog Shampoo
106786,Ching's Secret Red Chilli Sauce
477623,TGFC Curry Cut Mutton
556,Cadbury Bournville 50% Dark Chocolate (Rich Cocoa)
490298,Petvit Tick Repellent Powder for Pets
477323,Aptagrow Chocolate Flavour Health Drink (For 3+ Years)
362127,Blueberry
243715,Maybelline Colossal Super Black Kajal
456771,Biotique Bio Almond Oil Nourishing Soap 150 g - Pack of 2
